English;Japanese;Portuguese;Russian;French
Hello;こんにちは;Olá;Здравствуйте;Bonjour
Goodbye;さようなら;Adeus;До свидания;Au revoir
Thank you;ありがとうございます;Obrigado;Спасибо;Merci
Please;お願いします;Por favor;Пожалуйста;S'il vous plaît
Yes;はい;Sim;Да;Oui
No;いいえ;Não;Нет;Non
Excuse me;すみません;Com licença;Извините;Excusez-moi
I'm sorry;ごめんなさい;Desculpe;Простите;Je suis désolé
How much?;いくらですか？;Quanto custa?;Сколько это стоит?;Combien ça coûte?
Where is the restroom?;トイレはどこですか？;Onde fica a casa de banho?;Где находится туалет?;Où sont les toilettes?
Give me my {0} fat boy;私の{0}太った男の子をください;Dá-me os meus {0} paus filho da puta;Дай мне моего {0} толстяка;Donne-moi mon {0} gros garçon
Damn it;<Missing Japanese translation>;<Missing Portuguese translation>;<Missing Russian translation>;<Missing French translation>
Give my {0} fat boy;<Missing Japanese translation>;<Missing Portuguese translation>;<Missing Russian translation>;<Missing French translation>
five hundred;<Missing Japanese translation>;quinhentos;<Missing Russian translation>;<Missing French translation>
